위도,경도,동물소유자수,반려동물수,병원수,약국수,병원당_반려동물수,약국당_반려동물수,구별_분당구,구별_수정구,구별_중원구
37.429303355176884,127.08112452282879,289.0,412.0,1.0,2.0,556.5,508.3333333333333,0.0,1.0,0.0
37.34756718880425,127.10751399846605,5046.0,6482.0,14.0,24.0,6818.4,6683.84,1.0,0.0,0.0
37.36274785749477,127.09630474116148,1629.0,2091.0,4.0,11.0,2416.8,2226.75,1.0,0.0,0.0
37.44684007525342,127.16730235715133,4118.0,5394.0,10.0,32.0,5768.363636363636,5518.787878787879,0.0,0.0,1.0
37.45455065739617,127.15707722929152,791.0,1053.0,1.0,1.0,1448.5,1448.5,0.0,1.0,0.0
37.419187251004,127.16093053665182,897.0,1128.0,1.0,0.0,1576.5,2025.0,0.0,0.0,1.0
37.388249999338505,127.11027483888277,1313.0,1697.0,5.0,5.0,1915.8333333333333,1915.8333333333333,1.0,0.0,0.0
37.458788087361874,127.1304874328294,529.0,702.0,2.0,2.0,878.3333333333334,878.3333333333334,0.0,1.0,0.0
37.36846286452591,127.14405170583531,1522.0,2018.0,1.0,2.0,2779.0,2525.3333333333335,1.0,0.0,0.0
37.456820174668074,127.15266673304062,548.0,730.0,0.0,5.0,1278.0,821.3333333333334,0.0,1.0,0.0
37.401533375217,127.10914898818321,1081.0,1333.0,1.0,15.0,1873.5,1400.5625,1.0,0.0,0.0
37.43835715110172,127.16697966212685,9111.0,12333.0,9.0,0.0,13244.1,21444.0,0.0,0.0,1.0
37.3802517136792,127.1435100833229,5952.0,7426.0,16.0,44.0,7776.117647058823,7558.266666666666,1.0,0.0,0.0
37.43130511643588,127.13285718286338,1975.0,2638.0,3.0,12.0,3131.75,2789.923076923077,0.0,0.0,1.0
37.3730053939667,127.12285741925139,7524.0,9312.0,18.0,57.0,9708.0,9441.724137931034,1.0,0.0,0.0
37.43741885687426,127.13072151101267,3556.0,5402.0,6.0,26.0,5910.0,5533.7037037037035,0.0,1.0,0.0
37.412001445697875,127.08348206340183,119.0,190.0,1.0,3.0,249.5,219.75,0.0,1.0,0.0
37.45063934962769,127.10399260242616,43.0,60.0,0.0,0.0,103.0,103.0,0.0,1.0,0.0
37.44454975999404,127.14495981424342,8385.0,11271.0,21.0,54.0,11652.136363636364,11423.454545454546,0.0,1.0,0.0
37.40832617446844,127.1346002115888,8838.0,11592.0,21.0,60.0,11993.727272727272,11736.88524590164,1.0,0.0,0.0
37.46434779427106,127.16623046207165,558.0,698.0,0.0,3.0,1256.0,837.5,0.0,1.0,0.0
37.38189214063312,127.05865270552684,1157.0,1746.0,5.0,4.0,1938.8333333333333,1977.4,1.0,0.0,0.0
37.45678439969141,127.17071487035061,4198.0,5734.0,4.0,12.0,6573.6,6056.923076923077,0.0,0.0,1.0
37.39680444060326,127.12744778815306,3992.0,4902.0,10.0,2.0,5264.909090909091,6232.666666666667,1.0,0.0,0.0
37.36517812293928,127.11472044649244,21096.0,27184.0,68.0,84.0,27489.739130434784,27432.188235294117,1.0,0.0,0.0
37.43986219172212,127.15214396940321,770.0,1126.0,2.0,5.0,1382.6666666666667,1254.3333333333333,0.0,0.0,1.0
37.446764859116485,127.13307970875857,14396.0,19680.0,12.0,88.0,20787.384615384617,19841.752808988764,0.0,1.0,0.0
37.387076937073445,127.09260692518994,1044.0,1411.0,5.0,6.0,1585.0,1560.142857142857,1.0,0.0,0.0
37.427920507501554,127.1460827433927,1202.0,1581.0,2.0,0.0,1981.6666666666667,2783.0,0.0,0.0,1.0
