구별,동별,동물소유자수,반려동물수
분당구,구미동,2523,3241
분당구,궁내동,160,217
분당구,금곡동,1629,2091
분당구,대장동,219,303
분당구,동원동,57,72
분당구,백현동,1313,1697
분당구,분당동,1522,2018
분당구,삼평동,1081,1333
분당구,서현동,2976,3713
분당구,석운동,32,45
분당구,수내동,2508,3104
분당구,야탑동,2946,3864
분당구,운중동,1157,1746
분당구,율동,63,83
분당구,이매동,1996,2451
분당구,정자동,5274,6796
분당구,판교동,1044,1411
분당구,하산운동,6,9
수정구,고등동,289,412
수정구,금토동,84,136
수정구,단대동,791,1053
수정구,둔전동,11,15
수정구,복정동,529,702
수정구,사송동,58,78
수정구,산성동,548,730
수정구,상적동,58,92
수정구,수진동,1778,2701
수정구,시흥동,119,190
수정구,신촌동,43,60
수정구,신흥동,2795,3757
수정구,심곡동,137,185
수정구,양지동,558,698
수정구,오야동,53,78
수정구,창곡동,1882,2512
수정구,태평동,3599,4920
중원구,갈현동,27,32
중원구,금광동,2059,2697
중원구,도촌동,897,1128
중원구,상대원동,3037,4111
중원구,성남동,1975,2638
중원구,여수동,482,605
중원구,은행동,2099,2867
중원구,중동,411,573
중원구,중앙동,770,1126
중원구,하대원동,1202,1581
